State ,Location,Shell Length,Shell Width,Aperture Length,Weight,Condition,Infection status,Combo,Individual,Trial,Baseline,Water,Refuge
NC,AB,19.58,14.26,6.73,1.71,none,0,1,1,3,7,9,9
NC,AB,19.58,14.26,6.73,1.71,none,0,1,1,2,9,9,0.1
NC,AB,19.58,14.26,6.73,1.71,none,0,1,1,1,9,9,9
NC,AB,18.75,13.31,6.03,1.48,none,0,1,2,2,0.01,0.1,9
NC,AB,18.75,13.31,6.03,1.48,none,0,1,2,3,0.01,0.1,9
NC,AB,18.75,13.31,6.03,1.48,none,0,1,2,1,21,9,6
NC,AB,17.65,12.54,5.48,1.37,none,0,1,3,2,0.01,0.1,0.1
NC,AB,17.65,12.54,5.48,1.37,none,0,1,3,3,0.01,0.1,0.1
NC,AB,17.65,12.54,5.48,1.37,none,0,1,3,1,22,9,9
NC,AB,17.82,13.25,6.13,1.49,none,1,2,4,1,0.01,0.1,9
NC,AB,17.82,13.25,6.13,1.49,none,1,2,4,2,0.01,0.1,9
NC,AB,17.82,13.25,6.13,1.49,none,1,2,4,3,12,8,6
NC,AB,20.23,14.42,7.08,2.03,none,0,1,5,2,0.01,0.1,0.1
NC,AB,20.23,14.42,7.08,2.03,none,0,1,5,1,0.01,0.1,9
NC,AB,20.23,14.42,7.08,2.03,none,0,1,5,3,0.01,0.1,9
NC,AB,21.54,14.51,6.49,1.9,none,1,2,6,1,0.01,0.1,0.1
NC,AB,21.54,14.51,6.49,1.9,none,1,2,6,3,0.01,0.1,0.1
NC,AB,21.54,14.51,6.49,1.9,none,1,2,6,2,0.01,0.1,9
NC,AB,20.35,13.34,5.77,1.85,none,0,1,7,1,0.01,0.1,0.1
NC,AB,20.35,13.34,5.77,1.85,none,0,1,7,3,0.01,0.1,0.1
NC,AB,20.35,13.34,5.77,1.85,none,0,1,7,2,0.01,0.1,9
NC,AB,17.78,12.82,5.49,1.27,none,0,1,8,1,0.01,0.1,0.1
NC,AB,17.78,12.82,5.49,1.27,none,0,1,8,3,0.01,0.1,0.1
NC,AB,17.78,12.82,5.49,1.27,none,0,1,8,2,8,2,0.1
NC,AB,20.79,14.84,6.6,1.91,none,0,1,9,3,0.01,0.1,0.1
NC,AB,20.79,14.84,6.6,1.91,none,0,1,9,2,14,6,9
NC,AB,20.79,14.84,6.6,1.91,none,0,1,9,1,27,9,0.1
NC,AB,19.66,14.49,6.38,1.91,none,0,1,10,1,0.01,0.1,0.1
NC,AB,19.66,14.49,6.38,1.91,none,0,1,10,2,0.01,0.1,0.1
NC,AB,19.66,14.49,6.38,1.91,none,0,1,10,3,0.01,0.1,0.1
NC,AB,19.12,13.75,6.5,1.53,none,1,2,11,3,0.01,0.1,2
NC,AB,19.12,13.75,6.5,1.53,none,1,2,11,2,3,9,6
NC,AB,19.12,13.75,6.5,1.53,none,1,2,11,1,20,9,0.1
NC,AB,19.19,13.37,5.86,1.56,none,0,1,12,3,0.01,0.1,2
NC,AB,19.19,13.37,5.86,1.56,none,0,1,12,2,18,9,9
NC,AB,19.19,13.37,5.86,1.56,none,0,1,12,1,19,9,0.1
NC,AB,18.56,13.35,5.63,1.58,none,0,1,13,2,0.01,0.1,9
NC,AB,18.56,13.35,5.63,1.58,none,0,1,13,3,0.01,0.1,9
NC,AB,18.56,13.35,5.63,1.58,none,0,1,13,1,20,9,9
NC,AB,17.59,12.78,5.49,1.15,none,0,1,14,1,0.01,0.1,9
NC,AB,17.59,12.78,5.49,1.15,none,0,1,14,2,0.01,0.1,9
NC,AB,17.59,12.78,5.49,1.15,none,0,1,14,3,0.01,0.1,9
NC,AB,19.2,14.01,6.12,1.84,none,0,1,15,2,0.01,0.1,9
NC,AB,19.2,14.01,6.12,1.84,none,0,1,15,3,0.01,0.1,9
NC,AB,19.2,14.01,6.12,1.84,none,0,1,15,1,9,9,9
NC,AB,18.75,12.7,5.73,1.45,none,0,0,16,2,0.01,0.1,0.1
NC,AB,18.75,12.7,5.73,1.45,none,0,0,16,3,0.01,0.1,9
NC,AB,18.75,12.7,5.73,1.45,none,0,0,16,1,27,9,0.1
NC,AB,19.94,14.12,6.3,1.71,none,0,0,17,1,13,9,0.1
NC,AB,19.94,14.12,6.3,1.71,none,0,0,17,3,15,9,9
NC,AB,19.94,14.12,6.3,1.71,none,0,0,17,2,24,9,0.1
NC,AB,19.83,13.56,6.27,1.81,none,0,0,18,2,0.01,0.1,0.1
